Participant Number,Track ID,Full Text ,Positive,Favourite,Negative,Familiar,Unfamiliar,Musical Expressive Characteristics,Lyrics,Musical Meaning,Bass Line,Beat,Hook ,Instrumentation,Melody,Performer,Production,Rhythm,Riffs-Ornamentation,Song Structure/Composition,Sound ,Style,Tempo ,Vocals,Album,Artist ,Era ,Genre,Version,Other Forms of Media,Film,Music Video ,Musical,Playlist,Television,Memory,Discovery,Emotion,Event/Concert,Personal Event,Vacation,Place ,Time or Stage in Life,Girft/Recommendation ,Rediscovery,Reminisce- Nostalgia,Personal Performance ,People,Being Alone,Family ,Friends,Loss of a person,Romantic relationship,Recommendation from Friend/Family ,Accompaniment,Dancing,Driving ,Exercising ,Partying ,Singing ,Sleeping ,Walking ,Working ,Imagination,Season/time of day/weather,Christmas,Summer,Create Atmosphere,Change Mood,Stress/Frustration/Tension,Calm,Energy,Happiness-good mood,Motivation/focus,Sadness,Match Mood,No relationship,Participating in the study 
26,a,Its 'scherzo' like nature Great Cd Part of a fine album No,Its 'scherzo' like nature Great Cd Part of a fine album,,,,,,,,,,,,,,,,,,,Its 'scherzo' like nature ,,, Part of a fine album,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, No,
26,b,Happiness  Makes me feel happy Happiness  No - don't understand this question!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Happiness  Makes me feel happy Happiness,,,,No - don't understand this question!,
27,a,"musicals - friendship - story line and listen to the words I love musicals and rent is spectacular, not just for the  phenomenal tracks for the meaning and characters the words and a great sing a long  yes - musical theatre - studied and performed"," I love musicals and rent is spectacular, not just for the  phenomenal tracks for the meaning and characters the words and a great sing a long",,, yes - musical theatre - studied and performed,,,"musicals - friendship - story line and listen to the words /  I love musicals and rent is spectacular, not just for the  phenomenal tracks for the meaning and characters the words and a great sing a long","musicals - friendship - story line and listen to the words /  I love musicals and rent is spectacular, not just for the  phenomenal tracks for the meaning and characters the words and a great sing a long",,,,,,,,,,,,,,,,,, yes - musical theatre - studied and performed,,,,,"musicals - friendship - story line and listen to the words /  I love musicals and rent is spectacular, not just for the  phenomenal tracks for the meaning and characters the words and a great sing a long",,,,,,,,,,,,,, yes - musical theatre - studied and performed,,,,musicals - friendship - story line and listen to the words,,,,,,,,," I love musicals and rent is spectacular, not just for the  phenomenal tracks for the meaning and characters the words and a great sing a long",,,,,,,,,,,,,,,,,,
27,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,a,"Easy listening song and artist Memory Lane listening, not my current favourite artist or style , but used to love Anne Murray not my current favourite artist or style , but used to love Anne Murray No.  It's just an easy listening, background piece of music.","artist Memory Lane listening, not my current favourite artist or style , but used to love Anne Murray not my current favourite artist or style , but used to love Anne Murray",,"artist Memory Lane listening, not my current favourite artist or style , but used to love Anne Murray not my current favourite artist or style , but used to love Anne Murray",,,,,,,,,,,,,,,,,,,,,"Easy listening song and artist /  Memory Lane listening, not my current favourite artist or style , but used to love Anne Murray",,"Easy listening song and artist /  No.  It's just an easy listening, background piece of music.",,,,,,,,,,,,,,,,,,,,,,,,,,," No.  It's just an easy listening, background piece of music.",,,,,,,,,,,,,,,,,,,,,," No.  It's just an easy listening, background piece of music.",
28,b,"my cousin, J I like this group, not necessarily my favourite track but selected a selection of their songs.   The Ozarks were a favourite group of a cousin , who I loved, but who was tragically killed and I love listening to this group at anytime reminds me of him.  No.  Not this track in Particular but the group in general,","I like this group, not necessarily my favourite track but selected a selection of their songs.",,"I like this group, not necessarily my favourite track but selected a selection of their songs.",,,,,,,,,,,,,,,,,,,,,"I like this group, not necessarily my favourite track but selected a selection of their songs./   The Ozarks were a favourite group of a cousin , who I loved, but who was tragically killed and I love listening to this group at anytime reminds me of him./ No.  Not this track in Particular but the group in general,",,,,,,,,,,,,,,,,,,,,,,,,"my cousin, J /   The Ozarks were a favourite group of a cousin , who I loved, but who was tragically killed and I love listening to this group at anytime reminds me of him.",,"  The Ozarks were a favourite group of a cousin , who I loved, but who was tragically killed and I love listening to this group at anytime reminds me of him.",,,,,,,,,,,,,,,,,,,,,,,,,"No.  Not this track in Particular but the group in general,",
29,a,"It reminds me of the last time I listened to this band, about 2-3 years ago Because I love this band It's very relaxing music, and it's partly instrumental / partly in a language I don't understand (Czech) which makes it great for listening to when reading or thinking Yes, it reminds me of my life 2-3 years ago - which was completely different to it is now - which is when I last listened to it.","Because I love this band It's very relaxing music, and it's partly instrumental / partly in a language I don't understand (Czech) which makes it great for listening to when reading or thinking",,,,,Because I love this band It's very relaxing music,partly in a language I don't understand (Czech) which makes it great for listening to when reading or thinking ,,,,,it's partly instrumental,,,,,,,,,,,,"It reminds me of the last time I listened to this band, about 2-3 years ago / Because I love this band It's very relaxing music, and it's partly instrumental / partly in a language I don't understand (Czech) which makes it great for listening to when reading or thinking",,,,,,,,,,,,,,,,,"It reminds me of the last time I listened to this band, about 2-3 years ago /  Yes, it reminds me of my life 2-3 years ago - which was completely different to it is now - which is when I last listened to it.",,"It reminds me of the last time I listened to this band, about 2-3 years ago /  Yes, it reminds me of my life 2-3 years ago - which was completely different to it is now - which is when I last listened to it.",,,,,,,,,,,,,,,,,,"Because I love this band It's very relaxing music, and it's partly instrumental / partly in a language I don't understand (Czech) which makes it great for listening to when reading or thinking",,,,,,"Because I love this band It's very relaxing music, and it's partly instrumental / partly in a language I don't understand (Czech) which makes it great for listening to when reading or thinking",,"Because I love this band It's very relaxing music, and it's partly instrumental / partly in a language I don't understand (Czech) which makes it great for listening to when reading or thinking",,,,,,,
29,b,"I love this song! It reminds me of when I saw this band live a couple months ago - they played it at the concert Because I have almost every other song by this band, but I didn't have this one yet, so I saved it I love this track because it's upbeat and I still haven't learned the words yet (it's in Swedish), which is a challenge because I'm still a beginner at Swedish Yes, I saw this band live a couple months ago and they played this song at the concert, and it was the first time I had ever heard it. Now every time I listen to it, it reminds me of dancing like crazy at the concert :) ",I love this song!,,,,,," I love this track because it's upbeat and I still haven't learned the words yet (it's in Swedish), which is a challenge because I'm still a beginner at Swedish ",,,"Because I have almost every other song by this band, but I didn't have this one yet, so I saved it I love this track because it's upbeat and I still haven't learned the words yet (it's in Swedish), which is a challenge because I'm still a beginner at Swedish",,,,,,,,,,,,,,"It reminds me of when I saw this band live a couple months ago - they played it at the concert/ Because I have almost every other song by this band, but I didn't have this one yet, so I saved it ",,,,,,,,,,,"Yes, I saw this band live a couple months ago and they played this song at the concert, and it was the first time I had ever heard it. Now every time I listen to it, it reminds me of dancing like crazy at the concert :) ",,"It reminds me of when I saw this band live a couple months ago - they played it at the concert/ Yes, I saw this band live a couple months ago and they played this song at the concert, and it was the first time I had ever heard it. Now every time I listen to it, it reminds me of dancing like crazy at the concert :) ",,,,,,,,,,,,,,,,,"Yes, I saw this band live a couple months ago and they played this song at the concert, and it was the first time I had ever heard it. Now every time I listen to it, it reminds me of dancing like crazy at the concert :) ",,,,,,,,,,,,,,,,,,,,,,
30,a,"Relaxation/Calmness I found it a very fitting background noise whilst playing strategy games Artist's voice accompanied with the music is very soothing  No, It is a good song but really, it's nothing extra special","No, It is a good song but really, it's nothing extra special",,"No, It is a good song but really, it's nothing extra special",,,Relaxation/Calmness,,,,,,,,,,,,, Artist's voice accompanied with the music is very soothing  ,,, Artist's voice accompanied with the music is very soothing  ,, Artist's voice accompanied with the music is very soothing  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, I found it a very fitting background noise whilst playing strategy games,,,,,,,Relaxation/Calmness /  Artist's voice accompanied with the music is very soothing  ,Relaxation/Calmness/  Artist's voice accompanied with the music is very soothing  ,,,,,,"No, It is a good song but really, it's nothing extra special",
30,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,a,This track reminds me of warmth and summer. The first thing that comes to mind is a warm summer day and feeling the heat on my face. I found the song to be catchy and enjoyed the way it sounded. I like the voice of the singers. They have really great harmony. I also like the way the song sounds and it is uplifting and not depressing. It also makes me feel happy. Yes. I listened to this song while high on LSD and because of it this song is very special to me. , I found the song to be catchy and enjoyed the way it sounded.  /  I like the voice of the singers.,,,,, I found the song to be catchy and enjoyed the way it sounded.,,,,,,,,,,,, They have really great harmony, I found the song to be catchy and enjoyed the way it sounded.  / I also like the way the song sounds and it is uplifting and not depressing.,,, I like the voice of the singers.,,,,,,,,,,,,,,,, Yes. I listened to this song while high on LSD and because of it this song is very special to me. ,,,,,,,,,,,,,,,,,,,,,,,, The first thing that comes to mind is a warm summer day and feeling the heat on my face.,,,This track reminds me of warmth and summer. /  The first thing that comes to mind is a warm summer day and feeling the heat on my face.,,,,,, It also makes me feel happy.,,,,,
31,b,"Triumph I love Fleetwood Mac, and this song is iconic Fleetwood Mac. It's so catchy, and it makes me think I can do anything. I know all the words and can sing along. Stevie Nick's voice is awesome and she has to sing it with her ex which makes it even better. Also it's just an awesome song. Yes, I think I have a relationship with every one of Fleetwood Mac's song, but I think this one is especially important. It makes me think I can make it through changes, and that no matter what happens, things will be okay.",Also it's just an awesome song.,,," I know all the words and can sing along/ Yes, I think I have a relationship with every one of Fleetwood Mac's song, but I think this one is especially important.",,"Triumph. It's so catchy, and it makes me think I can do anything.", I know all the words and can sing along,"Triumph/ It's so catchy, and it makes me think I can do anything./  It makes me think I can make it through changes, and that no matter what happens, things will be okay.",,,,,,Stevie Nick's voice is awesome and she has to sing it with her ex which makes it even better,,,,,,,,,,"I love Fleetwood Mac, and this song is iconic Fleetwood Mac.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, I know all the words and can sing along,,,,,,,,,,,,,,,,,,
32,a,"Great track...  One of my favourite bands, their latest album Not too loud just a nice, chilled song Not especially."," Not too loud just a nice, chilled song","Great track...  One of my favourite bands, their latest album",,,,"Not too loud just a nice, chilled song ",,,,,,,,,,,,," Not too loud just a nice, chilled song",,,,"Great track...  One of my favourite bands, their latest album","Great track...  One of my favourite bands, their latest album",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not especially.,
32,b,"Reminds me of the concert I attended last year Not too noisy, nice chilled song Brings back nice memories of the gig, a chilled but enjoyable song Yes, reminds me of a great concert and randomly bumping into an old friend that I hadn't seen in years","Brings back nice memories of the gig, a chilled but enjoyable song ",,,"Yes, reminds me of a great concert and randomly bumping into an old friend that I hadn't seen in years",,"Brings back nice memories of the gig, a chilled but enjoyable song, Not too noisy, nice chilled song ",,,,,,,,,,,,," Not too noisy, nice chilled song ",,,,,,,,,,,,,,,,,,"Reminds me of the concert I attended last year/ Brings back nice memories of the gig, a chilled but enjoyable song / Yes, reminds me of a great concert and randomly bumping into an old friend that I hadn't seen in years",,,,,,,,,,,,"Yes, reminds me of a great concert and randomly bumping into an old friend that I hadn't seen in years",,,,,,,,,,,,,,,,,,,,,,,,,,,
